Department=[Amazon.com],Search Term=[],Enter ASINs or Products=[],Reporting Range=[Weekly],Viewing=[11/8/20 - 11/14/20],,,,,,,,,,
Amazon.com,led lights,11,B087D55WK2,"65.6ft Led Strip Lights, Tenmiro Led Lights Strip Led Lights for Bedroom, Kitchen, Home Decoration",7.56%,7.42%,B08B8D53HS,Daybetter 5050 RGB Flexible Color Changing Remote Control Led Strip Lights - 65.6ft,6.79%,6.57%,B07Y55WK7Z,"LED Strip Lights 32.8ft,Ehomful Color Changing 5050 RGB 300 LEDs 44KEY Remote Control LED Lights for Bedroom,Room,Kitchen,DIY Home &Party Christmas Decorations,L Shape and Gapless Connector Included",6.75%,7.01%
Amazon.com,gaming chair,12,B01N2RJ0HI,"Gtracing Gaming Chair Racing Office Computer Ergonomic Video Game Chair Backrest and Seat Height Adjustable Swivel Recliner with Headrest and Lumbar Pillow Esports Chair,Red",15.27%,19.66%,B08332K9XN,Gtplayer Gaming Chair with Footrest Ergonomic Massage Office Chair Adjustable Swivel Leather High Back Computer Desk Chair with Headrest and Massager Lumbar Support White,7.33%,10.70%,B08F7TSD7X,"Office Chair,Cadcah Ergonomic Office Chair Reclining Desk Chair Height Adjustment Computer Chair Racing Chair with Headrest and Lumbar Support,PC Gaming Chair for Adults/Teens",6.42%,0.04%
Amazon.com,playstation 5 console,13,B08FC5L3RG,PlayStation 5 Console,79.55%,52.34%,B08FC6C75Y,DualSense Wireless Controller,11.84%,23.55%,B08FC6MR62,PlayStation 5 Digital Edition,1.22%,0.69%
Amazon.com,nintendo switch,14,B07VGRJDFY,Nintendo Switch with Neon Blue and Neon Red Joy?Con - HAC-001(-01),30.98%,36.28%,B07V4GCFP9,Nintendo Switch Lite - Turquoise,14.26%,14.88%,B07RGFF98S,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,8.52%,7.98%
Amazon.com,airpods,15,B07PXGQC1Q,Apple AirPods with Charging Case (Wired),46.68%,54.95%,B07ZPC9QD4,Apple AirPods Pro,20.56%,23.03%,B07PYLT6DN,Apple AirPods with Wireless Charging Case,12.40%,11.78%
Amazon.com,xbox series x console,16,B08H75RTZ8,Xbox Series X,64.53%,29.70%,B074WPGYRF,"Microsoft Xbox One X 1Tb Console With Wireless Controller: Xbox One X Enhanced, Hdr, Native 4K, Ultra Hd (Discontinued)",4.09%,3.27%,B08G9J44ZN,Xbox Series S,3.05%,2.45%
Amazon.com,iphone 12 pro case,17,B08JYYPT33,Temdan Compatible with iPhone 12 Case/Compatible with iPhone 12 Pro Case - Clear,12.81%,14.69%,B08CZS3HQB,"TORRAS Crystal Clear Compatible with iPhone 12 Case (2020) / Designed for iPhone 12 Pro Case 6.1 Inch 5G 2020, Crystal Clear",5.80%,6.37%,B08CZK6ZQY,"TORRAS Shockproof Designed for iPhone 12 Case/Designed for iPhone 12 Pro Case, [Military Grade Drop Tested] Translucent Matte Hard PC Back with Soft Silicone Edge Slim Fit Protective Guardian, Black",5.44%,5.29%
Amazon.com,toilet paper,18,B074CRK54X,"Amazon Brand - Presto! 308-Sheet Mega Roll Toilet Paper, Ultra-Soft, 24 Count",12.02%,12.74%,B07ND5BB8V,"Cottonelle Ultra CleanCare Soft Toilet Paper with Active Cleaning Ripples, 24 Family Mega Rolls, Bath Tissue (24 Family Mega Rolls = 128 Regular Rolls)",11.05%,12.37%,B07FGBSF45,"Amazon Brand - Solimo 2-Ply Toilet Paper, 6 Count (Pack of 5)",10.41%,10.05%
Amazon.com,iphone 11 case,19,B07VK3Y6F8,"ESR Air Armor Designed for iPhone 11 Case [Shock-Absorbing] [Scratch-Resistant] [Military Grade Protection] Hard PC + Flexible TPU Frame, for The iPhone 11, Clear",5.64%,8.68%,B07YJMJ2VB,"COOLQO Compatible for iPhone 11 Case, with [2 x Tempered Glass Screen Protector] Clear 360 Full Body Coverage Hard PC+Soft Silicone TPU 3in1 [Military Protective] Shockproof Phone Cover",5.44%,7.50%,B07WQX6V6G,"Miracase Liquid Silicone Case Compatible with iPhone 11 6.1 inch(2019), Gel Rubber Full Body Protection Cover Case Drop Protection Case (Black)",5.33%,6.64%
Amazon.com,christmas lights,20,B075LQ4WTF,Prextex 100-Count Clear Green Wire Christmas Light Set Christmas Decorations,6.31%,11.34%,B07FSLWPRB,"Twinkle Star 100 LED 49 FT Star String Lights, Plug in Fairy String Lights Waterproof, Extendable for Indoor, Outdoor, Ramadan, Wedding Party, Christmas Tree, New Year, Garden Decoration, Warm White",4.27%,4.96%,B00O8H05NI,OMGAI Waterproof Meteor Shower Rain Lights 30cm 8 Tubes Drop Icicle Snow Falling Raindrop Cascading Lights for Wedding Party Christmas Shine Blue,4.02%,2.44%
Amazon.com,iphone 12 case,21,B08JYYPT33,Temdan Compatible with iPhone 12 Case/Compatible with iPhone 12 Pro Case - Clear,12.58%,15.30%,B08LBS8XYX,"Forunda Compatible with iPhone 12 case/iPhone 12 Pro case, [Shock-Absorbing] [Scratch-Resistant],Crystal Clear Hard PC Back Cover +Flexible TPU Frame Skin 6.1 (Army Green)",6.08%,0.00%,B08HVQG6K2,"Matone Compatible with iPhone 12 Case, Compatible with iPhone 12 Pro Case 6.1-Inch (2020), Clear Slim Protective Hybrid Cover Hard PC Back with TPU Bumper",5.83%,8.48%
Amazon.com,desk,22,B082F1J9B8,"CubiCubi Computer Desk 47 Study Writing Table for Home Office, Industrial Simple Style PC Desk, Black Metal Frame, Rustic",9.46%,13.58%,B07QRH2RCX,"Coleshome Computer Desk 39, Modern Simple Style Desk for Home Office, Sturdy Writing Desk,Black",6.86%,8.96%,B082Y16QZ2,"Mr IRONSTONE L-Shaped Desk 50.8 Computer Corner Desk, Home Gaming Desk, Office Writing Workstation with Large Monitor Stand, Space-Saving, Easy to Assemble, Black",6.84%,5.81%
Amazon.com,masks,23,B08GS2QFPV,Black Disposable Face Mask Breathable Dust Filter Masks Mouth Cover Masks with Elastic Ear Loop for Men & Women (50pcs),13.60%,0.01%,B08BK9X7TV,"Disposable Face Mask, Face Masks of 50 Pack Disposable Mask",10.43%,19.40%,B08GQZYSWK,"Disposable Face Masks,Face Masks of 50 Pack Disposable Mask-Black",8.44%,10.97%
Amazon.com,christmas decor,24,B08CXGTB6V,"jumping meters Christmas Decorations Refrigerator Magnets Set,12PCS Funny Snowmen Fridge Magnets Stickers Christmas Holiday Kitchen Decor Indoors for Fridge,Dishwasher,Metal Door,Office Cabinets",6.27%,0.93%,B0771MJHKT,KKSHINE Desktop Miniature Pine Tree Tabletop Christmas Tree Small Pine Tree Decor Christmas Tree Toppers,5.42%,7.42%,B07ZHSLWKL,"Christmas Lights, 40 LED Snowflake String Fairy Lights for Home, Party, Christmas, Wedding, Garden, Xmas Garden Patio Bedroom Decor Indoor Outdoor Celebration Lighting",4.73%,4.82%
Amazon.com,iphone,25,B07P9765VS,"Apple iPhone XR, 64GB, Coral - Fully Unlocked (Renewed)",10.95%,13.39%,B08L5NZHK6,"New Apple iPhone 12 (64GB, Black) [Locked] + Carrier Subscription",7.32%,1.57%,B08L5NRZNW,"New Apple iPhone 12 Pro (128GB, Pacific Blue) [Locked] + Carrier Subscription",5.22%,1.69%
Amazon.com,paper towels,26,B07MB9XLW9,"Brawny Tear-A-Square Paper Towels, Quarter Size Sheets, 16 Count of 128 Sheets Per Roll",11.25%,13.76%,B07MHJFRBJ,"Bounty Quick-Size Paper Towels, White, 8 Family Rolls = 20 Regular Rolls",8.51%,6.92%,B079VP6DH5,"Bounty Quick-Size Paper Towels, White, 16 Family Rolls = 40 Regular Rolls",7.54%,8.43%
Amazon.com,lego,27,B07KX896RP,"LEGO Classic Creative Fun 11005 Building Kit, New 2020 (900 Pieces)",5.82%,6.23%,B0858VNX4N,"LEGO Harry Potter 4 Privet Drive 75968; Fun Children’s Building Toy for Kids Who Love Harry Potter Movies, Collectible Playsets, Role-Playing Games and Dollhouse Sets, New 2020 (797 Pieces)",4.34%,2.61%,B07PX3X5WL,"LEGO Ideas 21319 Central Perk Building Kit (1,070 Pieces)",3.95%,1.79%
Amazon.com,earbuds,28,B07S82CYLR,"Vogek Earbuds, Tangle-Free Flat Cord Ergonomic in-Ear Headphones with Dynamic Crystal Clear Sound, Earphones with 3.5mm Jack, S/M/L Eartips Compatible with Samsung, Android Phone and More-Black",12.48%,18.74%,B07RGZ5NKS,TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof TWS Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black,6.86%,5.40%,B07J2Z5DBM,TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,6.23%,6.70%
Amazon.com,christmas,29,B000YHE4AG,Elf,13.10%,16.45%,B003CSX6HQ,Home Alone,8.13%,15.58%,B0815WCYLZ,Christmas Contract,6.63%,0.78%
Amazon.com,gifts for women,30,B08BP4M95F,Bluetooth Beanie Novelty Headwear Christmas Stocking Stuffer Gifts for Men Women Black,6.15%,0.13%,B08DG2BQGC,"Hand Cream,Hand Lotion,10 Packs Travel Size Hand Cream Gifts Set For Dry Cracked Aging Working Hands w/Lip Balm&Foot Cream,Unique Stocking Stuffers,Christmas Gifts for Women Mom Girls Her Wife Grandma",5.27%,0.11%,B0895SS58L,BTYSUN Bracelets for Women Inspirational Gifts for Women Motivational Cuff Bangle Birthday Gifts for Women Friendship Bracelets Personalized Mantra Jewelry,4.59%,9.11%
Amazon.com,ipad,31,B08J5Q255V,"New Apple iPad (10.2-inch, Wi-Fi, 32GB) - Silver (Latest Model, 8th Generation)",25.11%,34.16%,B08J61NFNR,"New Apple iPad (10.2-inch, Wi-Fi, 128GB) - Space Gray (Latest Model, 8th Generation)",8.01%,10.81%,B08J65DST5,"New Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (Latest Model, 8th Generation)",7.42%,14.05%
Amazon.com,christmas movies,32,B000YHE4AG,Elf,12.57%,20.27%,B0815WCYLZ,Christmas Contract,10.49%,1.29%,B003CSX6HQ,Home Alone,9.84%,24.39%
Amazon.com,laptop,33,B07RF1XD36,"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L, Silver",20.06%,25.37%,B0892WCGZM,"ASUS Laptop L406 Thin and Light Laptop, 14” HD Display, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC Storage, Wi-Fi 5, Windows 10, Microsoft 365, Slate Gray, L406MA-WH02",5.87%,4.96%,B086KJBKDW,"Acer Nitro 5 Gaming Laptop, 9th Gen Intel Core i5-9300H, NVIDIA GeForce GTX 1650, 15.6 Full HD IPS Display, 8GB DDR4, 256GB NVMe SSD, Wi-Fi 6, Backlit Keyboard, Alexa Built-in, AN515-54-5812",4.83%,3.17%
Amazon.com,n95 mask,34,B086JD7TKZ,"SupplyAID RRS-KN95-5PK KN95 Protective Mask, Protection Against PM2.5 Dust. Pollen and Haze-Proof, 5 Pack",20.47%,26.07%,B08923JK7H,"KN95 5-Ply Face Mask with Elastic Ear Loop, Individually packed in Poly bag, Adult, 5 Count",9.20%,10.57%,B089344XZF,"Bio-th Face Masks, Reusable 20 Pack, Disposable Masks, Protection for Dust Pollen Haze Proof, Filter Efficiency?95%, 5 Layers Cup Dust Disposable Face Masks for Adult, Men, Women, (Large/Xl)",7.66%,8.65%
Amazon.com,apple watch,35,B07K39FRSL,"Apple Watch Series 3 (GPS, 38mm) - Space Gray Aluminium Case with Black Sport Band",37.58%,43.90%,B08J5ZRFRG,"New Apple Watch SE (GPS, 40mm) - Gold Aluminum Case with Pink Sand Sport Band",17.37%,22.50%,B08J5MK16F,"New Apple Watch Series 6 (GPS, 44mm) - Space Gray Aluminum Case with Black Sport Band",4.47%,3.11%
Amazon.com,led lights for bedroom,36,B08B8WP2F1,Nexillumi 20 ft LED Lights for Bedroom with Remote Color Changing LED Strip Lights,12.69%,13.29%,B087D55WK2,"65.6ft Led Strip Lights, Tenmiro Led Lights Strip Led Lights for Bedroom, Kitchen, Home Decoration",7.67%,7.19%,B01G1QLW8A,Led Strip Lights Led Lights for Bedroom Party and Home Decoration,7.54%,8.73%
Amazon.com,face shield,37,B08DL25PT6,"TCP Global Salon World Safety Face Shields with Glasses Frames - Ultra Clear Protective Full Face Shields to Protect Eyes, Nose, Mouth - Anti-Fog PET Plastic Sanitary Droplet Splash Guard (Pack of 4)",12.09%,13.14%,B089QYYZFY,"Maxboost Protective Face Shield - 3 Pack (Adult Size), DuraSlim Series Reusable Full PET Transparent Material with Strap for Face Protection from Droplets and Saliva",8.92%,11.12%,B08FG2S1ZR,"Peesnt Clear Plastic Glass Face Shields, 8 Shields and 4 Glasses",7.11%,6.11%
Amazon.com,christmas ornaments,38,B07GLVH979,"XmasExp 34ct Christmas Ball Ornaments Shatterproof Christmas Ornaments Set Decorations for Xmas Tree Balls 40mm/1.57 (1.57'', Red)",13.78%,12.94%,B07QXYN1H6,"Sea Team 60mm/2.36 Shatterproof Clear Plastic Christmas Ball Ornaments Decorative Xmas Balls Baubles Set with Stuffed Delicate Decorations (30 Counts, Champagne)",10.21%,8.26%,B08HXCFVHC,Remembering 2020 Ornament Year of Quarantine Ornament 2020 Christmas Ornament 2020 Commemorative Funny Ornament 2020 Events – A Year to Remember,3.92%,5.17%
Amazon.com,air fryer,39,B07VM1FT8W,"Instant Vortex Air Fryer 4 in 1, Best Fries Ever, Roast, Bake, Reheat, 6 Qt, 1700W",11.68%,11.52%,B07FDJMC9Q,"Ninja Air Fryer that Cooks, Crisps and Dehydrates, with 4 Quart Capacity, and a High Gloss Finish",6.78%,6.73%,B0777RJG6D,"GoWISE USA 1700-Watt 5.8-QT 8-in-1 Digital Air Fryer with Recipe Book, Black",6.73%,6.49%
Amazon.com,bluetooth headphones,40,B01HNMTCE2,iJoy Matte Finish Premium Rechargeable Wireless Headphones Bluetooth Over Ear Headphones Foldable Headset with Mic (Stealth),14.11%,15.86%,B0753GRNQZ,"Mpow Flame Bluetooth Headphones V5.0 IPX7 Waterproof Wireless headphones, Bass+ HD Stereo Wireless Sport Earbuds, 7-9Hrs Playtime, cVc6.0 Noise Cancelling Mic for Home Workout, Running, Gym Red",6.81%,10.23%,B07QGVMCJG,"Wireless Over-Ear Headset with Deep Bass, Bluetooth and Wired Stereo Headphones Buit in Mic for Cell Phone, TV, PC,Soft Earmuffs &Light Weight for Prolonged Wearing by Zihnic (Black/Blue)",5.29%,7.08%
Amazon.com,toys,41,B087ZW39D2,"Seckton Upgrade Kids Selfie Camera, Christmas Birthday Gifts for Girls Age 3-9, HD Digital Video Cameras for Toddler, Portable Toy for 3 4 5 6 7 8 Year Old Girl with 32GB SD Card-Pink",4.48%,2.92%,B07CCFDZZ3,"LeapFrog Learning Friends 100 Words Book (Frustration Free Packaging), Green",4.25%,7.49%,B084P3VP2T,"ANIMAL ISLAND Aila Sit & Play Virtual Early Preschool Learning System  for Toddlers (12+ Months) Mom's Choice Gold Award  Letters, Numbers, Stories and Songs Best Baby Gift for Childhood Education",3.28%,0.83%
Amazon.com,lysol spray disinfectant,42,B001WTAU1M,Lysol Disinfectant Spray With Crisp linen Scent - 19 Oz (pack of 6),34.61%,27.17%,B00F9E2XR0,"Lysol Disinfectant Spray, Crisp Linen, 19 Ounce (Pack of 8)",16.87%,16.25%,B01IAIP3KA,"Lysol Disinfectant Spray Crisp Linen Scent, 19 Ounce (Value Pack of 4)",6.93%,4.87%
Amazon.com,masks for coronavirus protection,43,B08GS6R1VN,"Face Masks Blue Face Mask 50 PCS 3 Ply Breathable Face Masks with Elastic Ear Loop & Metal Nose Clip Bridge, Non-Woven Face Mouth Protection Mask for Personal Care Adult Men Women Office Outdoor",7.17%,12.23%,B08DM916VK,"Healthify 3-Layer Protective Mask, 3-D Perfect Fit, Soft Skin Layer, Face Mask (50-Pack, Black)",4.92%,5.68%,B088P7RC65,TCP Global Salon World Safety - Sealed Dispenser Box of 50 Face Masks Breathable Disposable 3-Ply Protective with Nose Clip and Ear Loops,4.05%,7.72%
Amazon.com,nintendo switch games,44,B08G3MN6KP,Super Mario 3D All-Stars - Nintendo Switch,9.18%,8.20%,B07SL6ZXBL,Animal Crossing: New Horizons - Nintendo Switch,8.00%,9.36%,B07D13QGXM,Minecraft - Nintendo Switch,7.36%,13.60%
Amazon.com,office chair,45,B00FS3VJAO,"Home Office Chair Ergonomic Desk Chair Mesh Computer Chair with Lumbar Support Armrest Executive Rolling Swivel Adjustable Mid Back Task Chair for Women Adults, Black",13.41%,16.40%,B08JGGJZY2,Office Chair Computer High Back Adjustable Ergonomic Desk Chair Executive PU Leather Swivel Task Chair with Armrests Lumbar Support (Black),5.09%,5.01%,B01LXXM5EK,"Furmax Office Desk Leather Gaming, High Back Ergonomic Adjustable Racing Task Swivel Executive Computer Chair Headrest and Lumbar Support (Black)",4.23%,4.38%
Amazon.com,baby yoda,46,B084PTVQLZ,"Star Wars The Child Animatronic Edition with Over 25 Sound and Motion Combinations, The Mandalorian Toy for Kids Ages 4 and Up",21.41%,24.24%,B0825SNHP1,"Mattel Star Wars The Child Plush Toy, 11-Inch Small Yoda-Like Soft Figure from The Mandalorian, Green",17.92%,24.20%,B082JJ2QM5,"Star Wars The Child Talking Plush Toy with Character Sounds and Accessories, The Mandalorian Toy for Kids Ages 3 and Up",7.55%,7.95%
Amazon.com,wireless earbuds,47,B0832VVDXK,Earbuds Wireless Ear Buds Bluetooth 5.0 Earbuds Touch Control with 450mAh Charging Case,25.89%,0.00%,B07RGZ5NKS,TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof TWS Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black,10.22%,14.58%,B084SDM8CY,"Monster Wireless Earbuds, Bluetooth 5.0 in-Ear Headphones with Charging Box, subwoofer with TWS Stereo Headphones, Built-in Microphone, Clear Calls, Suitable for Sports",6.69%,0.04%
Amazon.com,outdoor christmas decorations,48,B08DD8S3R4,"Jumbo C9 Christmas Lights Outdoor Decorations Lawn with Pathway Marker Stakes, 6 Ft. C7 String Lights Covered Jumbo Multicolored Light Bulb, for Holiday Time Outside Yard Garden Decor, 5 Lights",5.84%,6.20%,B0861RGQZ1,"MAOYUE Outdoor Christmas Decorations 335 LED Star Lights 8 Lighting Modes Outside Tree Decoration Lights for Yard, New Year, Wedding, Party",4.97%,5.47%,B087PRCBRR,"MAOYUE Meteor Shower Lights, 16 Tubes 640 LED Icicle Lights Outdoor Christmas Decorations Lights Waterproof Cascading Lights for Holiday Decorations, Tree, Eaves, Roof, Yard, Garden, Party, Colorful",2.97%,2.65%
Amazon.com,christmas stockings,49,B07HY4X33T,"Pack 6,18 Unique Burgundy and Ivory White and Khaki Knit Christmas Stockings Style3",9.58%,7.35%,B08CY3B42G,"HEYHOUSE Christmas Stockings,Pack of 4 18inches Christmas Stocking Personalize Knit Decorations for Family Season Décor, Burgundy",5.18%,5.36%,B01M2COSQ8,"Kunyida Pack 4, Unique Burgundy and Ivory White Knit Christmas Stockings 14",3.20%,3.93%
Amazon.com,advent calendar 2020,50,1647222613,Friends: The Official Advent Calendar: The One With the Surprises | Friends TV Show,5.98%,3.19%,1800228724,Disney Storybook Collection Advent Calendar,5.74%,2.93%,B085B26VXX,"LEGO Harry Potter Advent Calendar 75981, Collectible Toys from The Hogwarts Yule Ball, Harry Potter and The Goblet of Fire and More, Great Christmas or Birthday Calendar Gift, New 2020 (335 Pieces)",5.58%,8.87%
Amazon.com,headphones,51,B00NJ2M33I,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),19.26%,26.10%,B01M0GB8CC,Apple EarPods with Lightning Connector - White,5.33%,8.07%,B07PD9V78L,"Mpow CH6S Kids Headphones with Microphone Over Ear, On Ear Headphones for Kids with HD Sound Sharing Function for Children Boys Girls, Volume Limit Safe 85dB,94dB Headset for School, Travel",5.19%,5.52%
Amazon.com,sweaters for women,52,B07Y64587G,Angashion Women's Sweaters Casual Long Sleeve Crewneck Color Block Patchwork Pullover Knit Sweater Tops,7.26%,6.60%,B07VJMTZY2,ZESICA Women's Long Sleeve Crew Neck Striped Color Block Casual Loose Knitted Pullover Sweater Tops,3.99%,3.05%,B07XMLR6TJ,ANRABESS Womens Turtleneck Long Batwing Sleeve Asymmetric Hem Casual Pullover Sweater Knit Tops,3.96%,5.09%
Amazon.com,black friday deals 2020,53,B07K37HKT8,"Apple Watch Series 3 (GPS, 38mm) - Silver Aluminum Case with White Sport Band",5.76%,3.13%,B07VGRJDFY,Nintendo Switch with Neon Blue and Neon Red Joy?Con - HAC-001(-01),3.09%,0.56%,B082Y6NP68,"Wireless Earbuds Bluetooth Headphones IP8 Waterproof, 150H Playtime, HiFi Stereo Sound True Wireless Earphones, Binaural Calls, Touch Control,Built-in Mic Ear Buds Bluetooth Headset for Workout Sport",2.96%,7.92%
Amazon.com,room decor,54,B06XVRDV67,"JPSOR 24pcs 158 Feet Fake Ivy Fake Vines Artificial Ivy, Silk Ivy Garland Greenery Artificial Hanging Plant for Wedding Wall Decor, Party Room Decro",9.77%,15.44%,B07WF76ZRJ,"Blue Cloud Light Neon Signs Neon Lights for Wall Decor,USB or Battery LED Signs for Bedroom, Decorative Neon Light Sign for Christmas,Birthday Party, Living Room, Girls,Kids Room",6.43%,7.97%,B07M7WBQ2X,32 Pieces Removable Acrylic Mirror Setting Wall Sticker Decal for Home Living Room Bedroom Decor (10 x 8.6 x 5 cm),5.95%,9.56%
Amazon.com,tv,55,B07FPP6TB5,Insignia NS-32DF310NA19 32-inch Smart HD TV - Fire TV Edition,27.66%,39.30%,B084JCXSL6,"SAMSUNG 50-inch Class Crystal UHD TU-8000 Series - 4K UHD HDR Smart TV with Alexa Built-in (UN50TU8000FXZA, 2020 Model)",8.87%,7.31%,B07F981R8M,TCL 32S327 32-Inch 1080p ROKU Smart LED TV (2018 Model),4.29%,3.61%
Amazon.com,christmas pajamas for family,56,B085YF3LNH,"Lazy One Flapjacks, Matching Pajamas for The Dog, Baby & Kids, Teens, and Adults",8.97%,5.76%,B08KP572XZ,MeikoHome 2020 Christmas Family Pajamas Matching Sets Reindeer Plaid Xmas 2PCs Soft Sleepwear,5.80%,5.83%,B089W2RP2W,IFFEI Matching Family Pajamas Sets Christmas PJ's Sleepwear Merry Christmas Reindeer with Plaid Pants for Kids & Adult,5.47%,7.23%
Amazon.com,mask,57,B0899V668G,2-Pack Unisex Cloth Washable Reusable Cover - 100% Cotton 3 Layer Cover for Dust Particle & Droplet & pollen Protection - Dust Warm outdoor Cover Black - Ship From USA,11.55%,9.81%,B08BK9X7TV,"Disposable Face Mask, Face Masks of 50 Pack Disposable Mask",8.06%,15.47%,B08GQZYSWK,"Disposable Face Masks,Face Masks of 50 Pack Disposable Mask-Black",6.57%,8.19%
